DATE,PNICKUSDM
2011-06-01,22420.9318181818
2011-07-01,23847.9523809524
2011-08-01,21864.6818181818
2011-09-01,20377.5909090909
2011-10-01,19039.0476190476
2011-11-01,17873
2011-12-01,18246.0375
2012-01-01,19908.619047619
2012-02-01,20393.6666666667
2012-03-01,18660.8068181818
2012-04-01,17892.8157894737
2012-05-01,16968.3181818182
2012-06-01,16603.6842105263
2012-07-01,16128.4090909091
2012-08-01,15703.9886363636
2012-09-01,17287.9625
2012-10-01,17168.7391304348
2012-11-01,16335.3636363636
2012-12-01,17448.5
2013-01-01,17494.0681818182
2013-02-01,17690.1
2013-03-01,16731.7
2013-04-01,15629.3095238095
2013-05-01,14948.2261904762
2013-06-01,14280.275
2013-07-01,13750.3152173913
2013-08-01,14308.2619047619
2013-09-01,13801.3928571429
2013-10-01,14117.652173913
2013-11-01,13684.0119047619
2013-12-01,13924.55
2014-01-01,14101.25
2014-02-01,14203.55
2014-03-01,15678.0952380952
2014-04-01,17373.6
2014-05-01,19401.075
2014-06-01,18628.8095238095
2014-07-01,19117.652173913
2014-08-01,18600.2
2014-09-01,18034.7954545455
2014-10-01,15812.3695652174
2014-11-01,15807.05
2014-12-01,15962.0476190476
2015-01-01,14849.1904761905
2015-02-01,14573.8375
2015-03-01,13755.5
2015-04-01,12830.925
2015-05-01,13511.3421052632
2015-06-01,12825.2272727273
2015-07-01,11413.097826087
2015-08-01,10386
2015-09-01,9937.54545454545
2015-10-01,10316.8295454545
2015-11-01,9244.33333333333
2015-12-01,8707.78571428571
2016-01-01,8507.2875
2016-02-01,8298.5
2016-03-01,8717.25
2016-04-01,8878.85714285714
2016-05-01,8660.35
2016-06-01,8928.35227272727
2016-07-01,10262.8571428571
2016-08-01,10335.9886363636
2016-09-01,10191.7840909091
2016-10-01,10259.7380952381
2016-11-01,11128.9090909091
2016-12-01,10972.275
2017-01-01,9971.46428571429
2017-02-01,10643.3
2017-03-01,10204.6630434783
2017-04-01,9609.27777777778
2017-05-01,9155.11904761905
2017-06-01,8931.76136363636
2017-07-01,9491.39285714286
2017-08-01,10889.9772727273
2017-09-01,11215.7857142857
2017-10-01,11335.7727272727
2017-11-01,11972
2017-12-01,11495.1052631579
2018-01-01,12864.875
2018-02-01,13595.875
2018-03-01,13392.5
2018-04-01,13938.1
2018-05-01,14366.4880952381
2018-06-01,15105.6547619048
2018-07-01,13793.8636363636
2018-08-01,13411.3522727273
2018-09-01,12510.35
2018-10-01,12314.9130434783
2018-11-01,11239.7159090909
2018-12-01,10835.0789473684
2019-01-01,11523.0909090909
2019-02-01,12685.225
2019-03-01,13026.2738095238
2019-04-01,12772.7875
2019-05-01,12016.3095238095
2019-06-01,11943.9375
2019-07-01,13546.3043478261
2019-08-01,15748.6428571429
2019-09-01,17656.880952381
2019-10-01,17046.2173913043
2019-11-01,15171.8095238095
2019-12-01,13829.425
2020-01-01,13506.8636363636
2020-02-01,12715.55
2020-03-01,11846.2272727273
2020-04-01,11804.0095
2020-05-01,12179.6052631579
2020-06-01,12727.1522727273
2020-07-01,13402.3039130435
2020-08-01,14575.7828571429
2020-09-01,14857.4886363636
2020-10-01,15239.3636363636
2020-11-01,15807.7333333333
2020-12-01,16823.0385714286
2021-01-01,17863.176
2021-02-01,18584.38
2021-03-01,16406.6604347826
2021-04-01,16521.25
2021-05-01,17602.1025
2021-06-01,17979.5659090909
2021-07-01,18818.5113636364
2021-08-01,19141.2966666667
2021-09-01,19376.875
2021-10-01,19362.3928571429
2021-11-01,19932.8631818182
2021-12-01,20015.5485714286
2022-01-01,22355.4
2022-02-01,24015.55
2022-03-01,33924.1764705882
2022-04-01,33133.8095238095
2022-05-01,28228.8868181818
2022-06-01,25877.0681818182
2022-07-01,21481.8928571429
2022-08-01,22034.8913043478
2022-09-01,22773.9663636364
2022-10-01,22032.8928571429
2022-11-01,25562.6977272727
2022-12-01,28985.9204545455
